Common Name (Scientific Name),Genus,Species,Family,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,present,Notes,# stops,total,,,,,,,,,,,,,,,,,
Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,Corvus,brachyrhynchos,Corvidae,1,1,1,3,,,2,1,1,1,3,,,,2,,2,p,,11,18,,,,,,,,,,,,,,,,,
American Goldfinch (Carduelis tristis) ,Carduelis,tristis,Fringillidae,1,,2,,3,,,,,1,,1,,,2,1,,p,,7,11,,,,,,,,,,,,,,,,,
American Kestrel (Falco sparverius),Falco,sparverius,Falconidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,Setophaga,ruticilla,Parulidae,2,,,,,,,,,,,,,,,,,p,,1,2,,,,,,,,,,,,,,,,,
American Robin (Turdus migratorius) ,Turdus,migratorius,Turdidae,,1,1,1,1,1,,,,,,,,,,,,p,,5,5,,,,,,,,,,,,,,,,,
American White Pelican (Pelecanus erythrorhynchos),Pelecanus,erythrorhynchos,Pelecanidae,,,,,,,,,,,17,,,,,,,p,,1,17,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),Haliaeetus,leucocephalus,Accipitridae,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Baltimore oriole (Icterus galbula) ,Icterus,galbula,Icteridae,,,,,,,,,,,,,,,,,,p,,0,0,,,,,,,,,,,,,,,,,
Barn Swallow (Hirundo rustica) ,Hirundo,rustica,Hirundinidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),Dendroica,castanea,Parulidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Belted Kingfisher (Ceryle alcyon) ,Ceryle,alcyon,Alcedinidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),Chlidonias,niger,Laridae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),Mniotilta,varia,Parulidae,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,Dendroica,fusca,Parulidae,,,,,,,,,,,,,,,,,,p,,0,0,,,,,,,,,,,,,,,,,
Black-capped Chickadee (Parus atricapillus) ,Parus,atricapillus,Paridae,2,,1,1,,,,1,2,1,,,2,1,3,,1,p,,10,15,,,,,,,,,,,,,,,,,
Blackpoll Warbler (Dendroica striata) ,Dendroica,striata,Parulidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Black-throated Green Warbler (Dendroica virens) ,Dendroica,virens,Parulidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Blue Jay (Cyanocitta cristata) ,Cyanocitta,cristata,Corvidae,,,,1,1,1,,,1,1,,1,,,1,,,p,,7,7,,,,,,,,,,,,,,,,,
Blue-gray Gnatcatcher (Polioptila caerula) ,Polioptila,caerula,Polioptilidae,,,,,,,,,,,,,2,,,,,p,,1,2,,,,,,,,,,,,,,,,,
Blue-headed [solitary] Vireo (Vireo solitarius) ,Vireo,solitarius,Vireonidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Blue-winged Teal (Anas discors),Anas,discors,Anatidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Blue-winged Warbler (Vermivora pinus),Vermivora,pinus,Parulidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Bobolink (Dolichonyx oryzivorus),Dolichonyx,oryzivorus,Icteridae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Broad-winged Hawk (Buteo playpterus),Buteo,playpterus,Accipitridae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Brown Thrasher (Toxostoma rufum),Toxostoma,rufum,Mimidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Brown-headed Cowbird (Molothrus ater) ,Molothrus,ater,Icteridae,,,,,,,6,1,,1,,,,,,1,2,p,,5,11,,,,,,,,,,,,,,,,,
Canada Goose (Branta canadensis),Branta,canadensis,Anatidae,2,2,,,1,,2,2,,,,,,,,,7,p,,6,16,,,,,,,,,,,,,,,,,
