Common Name (Scientific Name),Genus,Species,Family,Rice Co. List,pg. NG,pg. Robbins,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,present,,,,,,,,,,,,,,
Hermit Thrush (Catharus guttatus),Catharus,guttatus,Turdidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Finch (Carpodacus mexicanus),Carpodacus,mexicanus,Fringillidae,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
House Sparrow (Passer domesticus),Passer,domesticus,Passeridae,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
House Wren (Troglodytes aedon) ,Troglodytes,aedon,Troglodytidae,176,334,236,49,,1,1,,,,,,,,,,1,1,,,2,5,6,p,,,,,,,,,,,,,,
Indigo Bunting (Passerina cyanea) ,Passerina,cyanea,Cardinalidae,246,432,312,96,,1,1,,1,1,,,,,,,1,,1,2,,7,8,p,,,,,,,,,,,,,,
Killdeer (Charadrius vociferus),Charadrius,vociferus,Charadriidae,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
Least Flycatcher (Empidonax minimus),Empidonax,minimus,Tyrannidae,153,290,212,33,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,
Magnolia Warbler (Dendroica magnolia),Dendroica,magnolia,Parulidae,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
Mallard (Anas platyrhynchos),Anas,platyrhynchos,Anatidae,27,76,46,5,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,
Marsh Wren (Cistothorus palustris),Cistothorus,palustris,Troglodytidae,179,336.4,238,51,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,
Mourning Dove (Zenaida macroura) ,Zenaida,macroura,Columbidae,119,236,166,15,1,,,,,,,,1,,,,,,,,,2,2,p,,,,,,,,,,,,,,
Mourning Warbler (Oporornis philadelphia),Oporornis,philadelphia,Parulidae,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
Nashville Warbler (Vermivora ruficapilla) ,Vermivora,ruficapilla,Parulidae,212,370.1,274,65,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,
