Common Name (Scientific Name),Genus,Species,Family,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,present,,,,,,,,,,,,,,,,,
Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,33,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,Corvus,brachyrhynchos,Corvidae,45,,3,,,,3,1,,,,,1,,,,,,4,8,,,,,,,,,,,,,,,,,,
American Goldfinch (Carduelis tristis) ,Carduelis,tristis,Fringillidae,115,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
American Kestrel (Falco sparverius),Falco,sparverius,Falconidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,Setophaga,ruticilla,Parulidae,84,,,1,,,,,,,,,1,1,,,2,,4,5,,,,,,,,,,,,,,,,,,
American Robin (Turdus migratorius) ,Turdus,migratorius,Turdidae,63,,,,1,1,,,,,,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,
American White Pelican (Pelecanus erythrorhynchos),Pelecanus,erythrorhynchos,Pelecanidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),Haliaeetus,leucocephalus,Accipitridae,9,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Baltimore oriole (Icterus galbula) ,Icterus,galbula,Icteridae,113,,,,1,1,,,1,,,,,,1,,,2,5,6,,,,,,,,,,,,,,,,,,
Barn Swallow (Hirundo rustica) ,Hirundo,rustica,Hirundinidae,49,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),Dendroica,castanea,Parulidae,81,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Belted Kingfisher (Ceryle alcyon) ,Ceryle,alcyon,Alcedinidae,22,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),Chlidonias,niger,Laridae,16,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),Mniotilta,varia,Parulidae,83,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,Dendroica,fusca,Parulidae,79,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Black-capped Chickadee (Parus atricapillus) ,Parus,atricapillus,Paridae,50,1,,,,,,,,,,2,,,1,,,1,4,5,,,,,,,,,,,,,,,,,,
Blackpoll Warbler (Dendroica striata) ,Dendroica,striata,Parulidae,82,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Black-throated Green Warbler (Dendroica virens) ,Dendroica,virens,Parulidae,78,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blue Jay (Cyanocitta cristata) ,Cyanocitta,cristata,Corvidae,44,,1,,,,,,,,2,,,1,,,,,3,4,,,,,,,,,,,,,,,,,,
Blue-gray Gnatcatcher (Polioptila caerula) ,Polioptila,caerula,Polioptilidae,57,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Blue-headed [solitary] Vireo (Vireo solitarius) ,Vireo,solitarius,Vireonidae,40,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Blue-winged Teal (Anas discors),Anas,discors,Anatidae,4,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blue-winged Warbler (Vermivora pinus),Vermivora,pinus,Parulidae,68,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Bobolink (Dolichonyx oryzivorus),Dolichonyx,oryzivorus,Icteridae,106,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Broad-winged Hawk (Buteo playpterus),Buteo,playpterus,Accipitridae,11,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Brown Thrasher (Toxostoma rufum),Toxostoma,rufum,Mimidae,65,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird (Molothrus ater) ,Molothrus,ater,Icteridae,111,,,,1,,,,,,,,,,,1,,,2,2,,,,,,,,,,,,,,,,,,
Canada Goose (Branta canadensis),Branta,canadensis,Anatidae,1,,,2,,,2,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,
Canada Warbler (Wilsonia canadensis) ,Wilsonia,canadensis,Parulidae,91,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Cape May Warbler (Dendroica tigrina),Dendroica,tigrina,Parulidae,76,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Caspian tern (Hydroprogne caspia = Sterna caspia),Hydroprogne,caspia,Laridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Cedar Waxwing (Bombycilla cedrorum) ,Bombycilla,cedrorum,Bombycillidae,67,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Chestnut-sided Warbler (Dendroica pensylvanica) ,Dendroica,pensylvanica,Parulidae,74,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Chimney Swift (Chaetura pelagica),Chaetura,pelagica,Apodidae,20,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Chipping Sparrow (Spizella passerina) ,Spizella,passerina,Emberizidae,94,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Clay-colored Sparrow (Spizella pallida),Spizella,pallida,Emberizidae,95,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Cliff Swallow (Petrochelidon pyrrhonota),Petrochelidon,pyrrhonota,Hirundinidae,48,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Common Grackle (Quiscalus quiscula) ,Quiscalus,quiscula,Icteridae,110,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Common Yellowthroat (Geothlypis trichas) ,Geothlypis,trichas,Parulidae,89,1,,1,,1,,2,1,,,1,1,,,,,,7,8,,,,,,,,,,,,,,,,,,
Connecticut Warbler (Oporornis agilis),Oporornis,agilis,Parulidae,87,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Cooper's Hawk (Accipiter cooperii),Accipiter,cooperii,Accipitridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Downy Woodpecker (Picoides pubescens),Picoides,pubescens,Picidae,26,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Eastern Bluebird (Sialia sialis) ,Sialia,sialis,Turdidae,58,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Eastern Kingbird (Tyrannus tyrannus) ,Tyrannus,tyrannus,Tyrannidae,38,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Eastern Meadowlark (Sturnella magna),Sturnella,magna,Icteridae,108,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Eastern Phoebe (Sayornis phoebe),Sayornis,phoebe,Tyrannidae,36,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Eastern Towhee (Pipilo erythrophthalmus),Pipilo,erythrophthalmus,Emberizidae,93,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Eastern Wood-pewee (Contopus virens),Contopus,virens,Tyrannidae,31,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
European Starling (Sturnus vulgaris) ,Sturnus,vulgaris,Sturnidae,66,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Evening Grosbeak (Coccothraustes vespertinus),Coccothraustes,vespertinus,Fringillidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Field Sparrow (Spizella pusilla) ,Spizella,pusilla,Emberizidae,96,,,,,,1,,,1,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,
Golden Eagle (Aquila chrysaetos),Aquila,chrysaetos,Accipitridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Golden-winged Warbler (Vermivora chrysoptera),Vermivora,chrysoptera,Parulidae,69,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Grasshopper Sparrow (Ammodramus savannarum),Ammodramus,savannarum,Emberizidae,99,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Gray Catbird (Dumetella caroliniensis) ,Dumetella,caroliniensis,Mimidae,64,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Gray-cheeked Thrush (Catharus minimus),Catharus,minimus,Turdidae,60,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Great Blue Heron (Ardea herodius),Ardea,herodius,Ardeidae,7,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Great Crested Flycatcher (Myiarchus crinitus) ,Myiarchus,crinitus,Tyrannidae,37,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,
Great Egret (Ardea alba),Ardea,alba,Ardeidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
