Common Name (Scientific Name),Genus,Species,Family,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,present,Notes,,,,,,,,,,,,,,,,
Gray Catbird (Dumetella caroliniensis) ,Dumetella,caroliniensis,Mimidae,66,,,,,,,2,,,,,,,,,,,1,2,p,,,,,,,,,,,,,,,,,
Gray-cheeked Thrush (Catharus minimus),Catharus,minimus,Turdidae,62,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Great Blue Heron (Ardea herodius),Ardea,herodius,Ardeidae,7,,,,,,,,,,,,1,,,,,,1,1,p,,,,,,,,,,,,,,,,,
Great Crested Flycatcher (Myiarchus crinitus) ,Myiarchus,crinitus,Tyrannidae,39,,,,,,,,,,,1,,1,,,1,,3,3,,,,,,,,,,,,,,,,,,
Great Egret (Ardea alba),Ardea,alba,Ardeidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Great Horned Owl (Bubo virginianus),Bubo,virginianus,Strigidae,21,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Green Heron (Butorides virescens),Butorides,virescens,Ardeidae,8,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Hairy Woodpecker (Picoides villosus),Picoides,villosus,Picidae,29,,,,,,,,1,,,,,,,,,,1,1,p,,,,,,,,,,,,,,,,,
Henslow's Sparrow (Ammodramus henslowii),Ammodramus,henslowii,Emberizidae,102,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Hermit Thrush (Catharus guttatus),Catharus,guttatus,Turdidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Finch (Carpodacus mexicanus),Carpodacus,mexicanus,Fringillidae,118,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
House Sparrow (Passer domesticus),Passer,domesticus,Passeridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
House Wren (Troglodytes aedon) ,Troglodytes,aedon,Troglodytidae,55,,2,1,,,,,,,,,,1,1,1,1,1,7,8,p,,,,,,,,,,,,,,,,,
Indigo Bunting (Passerina cyanea) ,Passerina,cyanea,Cardinalidae,109,,,,,,,,,,,,,1,,,1,,2,2,p,,,,,,,,,,,,,,,,,
Killdeer (Charadrius vociferus),Charadrius,vociferus,Charadriidae,15,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Least Flycatcher (Empidonax minimus),Empidonax,minimus,Tyrannidae,37,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Magnolia Warbler (Dendroica magnolia),Dendroica,magnolia,Parulidae,78,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Mallard (Anas platyrhynchos),Anas,platyrhynchos,Anatidae,3,,,,,,,2,,,,,,,,,,,1,2,p,,,,,,,,,,,,,,,,,
Marsh Wren (Cistothorus palustris),Cistothorus,palustris,Troglodytidae,57,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Mourning Dove (Zenaida macroura) ,Zenaida,macroura,Columbidae,20,1,,,,,,,,,,,,,,,1,,2,2,p,,,,,,,,,,,,,,,,,
Mourning Warbler (Oporornis philadelphia),Oporornis,philadelphia,Parulidae,91,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Nashville Warbler (Vermivora ruficapilla) ,Vermivora,ruficapilla,Parulidae,74,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Northern Cardinal (Cardinalis cardinalis) ,Cardinalis,cardinalis,Cardinalidae,107,1,,1,2,,1,1,1,1,,1,2,,,,1,1,11,13,p,,,,,,,,,,,,,,,,,
Northern Flicker (Colaptes auratus),Colaptes,auratus,Picidae,30,,,,,,,,,,,1,,,,,,,1,1,p,,,,,,,,,,,,,,,,,
Northern Harrier (Circus cyaneus),Circus,cyaneus,Accipitridae,11,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Northern Parula (Parula americana),Parula,americana,Parulidae,75,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Northern Rough-winged Swallow (Stelgidopteryx serripennis),Stelgidopteryx,serripennis,Hirundinidae,49,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Northern Waterthrush (Seirus noveboracensis),Seirus,noveboracensis,Parulidae,89,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Olive-sided Flycatcher (Contopus cooperi),Contopus,cooperi,Tyrannidae,32,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Orange-crowned Warbler (Vermivora celata),Vermivora,celata,Parulidae,73,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Orchard oriole (Icterus spurius),Icterus,spurius,Icteridae,116,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Osprey (Pandion haliaetus),Pandion,haliaetus,Pandionidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Ovenbird (Seirus aurocapillus) ,Seirus,aurocapillus,Parulidae,88,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Palm Warbler (Dendroica palmarum),Dendroica,palmarum,Parulidae,83,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Peregrine Falcon (Falco peregrinus),Falco,peregrinus,Falconidae,13,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Philadelphia Vireo (Vireo philadelphicus),Vireo,philadelphicus,Vireonidae,44,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Pileated Woodpecker (Dryocopus pileatus) ,Dryocopus,pileatus,Picidae,31,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Red-bellied Woodpecker (Melanerpes carolinus),Melanerpes,carolinus,Picidae,26,,,,,,,,1,,,1,,,,1,1,,4,4,p,,,,,,,,,,,,,,,,,
Red-eyed Vireo (Vireo olivaceus) ,Vireo,olivaceus,Vireonidae,45,,,,,,,,,,,2,1,,,,,,2,3,p,,,,,,,,,,,,,,,,,
Red-headed Woodpecker (Melanerpes erythrocephalus) ,Melanerpes,erythrocephalus,Picidae,25,,,,,,,,,,,,,,1,,,,1,1,p,,,,,,,,,,,,,,,,,
Red-Tailed Hawk (Buteo jamaicensis),Buteo,jamaicensis,Accipitridae,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Red-winged Blackbird (Agelaius tricolor) ,Agelaius,tricolor,Icteridae,111,1,,,1,1,,3,3,,,,,,,,,,5,9,p,,,,,,,,,,,,,,,,,
Ring-billed Gull (Larus delawarensis),Larus,delawarensis,Laridae,17,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Ring-necked Pheasant (Phasianus colchicus),Phasianus,colchicus,Phasianidae,5,,1,1,2,2,1,1,1,1,1,,,,,1,1,,11,13,p,,,,,,,,,,,,,,,,,
Rock Pigeon (Columba livia),Columba,livia,Columbidae,19,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Rose-breasted Grosbeak (Pheucticus ludovicianus) ,Pheucticus,ludovicianus,Cardinalidae,108,1,,,,,,,,,,,1,,,,,,2,2,p,,,,,,,,,,,,,,,,,
Ruby-crowned Kinglet (Regulus calendula),Regulus,calendula,Regulidae,58,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Ruby-Throated Hummingbird (Archilocus colubris),Archilocus,colubris,Trochilidae,23,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Sandhill Crane (Grus canadensis),Antigone,canadensis,Gruidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Savannah Sparrow (Passerculus sandwichensis),Passerculus,sandwichensis,Emberizidae,101,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Scarlet Tanager (Piranga olivacea) ,Piranga,olivacea,Cardinalidae,95,,,,,,,,,,,1,,,,,,,1,1,p,,,,,,,,,,,,,,,,,
Sedge Wren (Cistothorus platensis),Cistothorus,platensis,Troglodytidae,56,,,,,3,,,,,,,,,,,,,1,3,p,,,,,,,,,,,,,,,,,
Solitary Sandpiper (Tringa solitaria),Tringa,solitaria,Scolopacidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Song Sparrow (Melospiza melodia) ,Melospiza,melodia,Emberizidae,104,,,1,,,,,,,,,,,,,,,1,1,p,,,,,,,,,,,,,,,,,
Sora (Porzana carolina),Porzana,carolina,Rallidae,14,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Spotted Sandpiper (Actitis macularia),Actitis,macularia,Scolopacidae,16,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Swainson’s Thrush (Catharus ustulatus) ,Catharus,ustulatus,Turdidae,63,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Swamp Sparrow (Melospiza georgiana),Melospiza,georgiana,Emberizidae,105,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Tennesee Warbler (Vermivora peregrina) ,Vermivora,peregrina,Parulidae,72,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Tree Swallow (Tachycineta bicolor) ,Tachycineta,bicolor,Hirundinidae,48,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Tufted Titmouse (Baeolophus bicolor),Baeolophus,bicolor,Paridae,53,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Turkey Vulture (Cathartes aura),Cathartes,aura,Cathartidae,,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Veery (Catharus fuscescens) ,Catharus,fuscescens,Turdidae,61,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Vesper Sparrow (Pooecetes gramineus),Pooecetes,gramineus,Emberizidae,100,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Warbling Vireo (Vireo gilvus) ,Vireo,gilvus,Vireonidae,43,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
White-breasted Nuthatch (Sitta carolinensis) ,Sitta,carolinensis,Sittidae,54,,,,,,,,,,,,,,1,1,1,,3,3,p,,,,,,,,,,,,,,,,,
White-Crowned Sparrow (Zonotrichia leucophrys),Zonotrichia,leucophrys,Emberizidae,,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
White-throated Sparrow (Zonotrichia albicollis),Zonotrichia,albicollis,Emberizidae,106,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Wild Turkey (Meleagris gallopavo),Meleagris,gallopavo,Phasianidae,6,,,,,,,1,,,1,,,1,,1,,,4,4,p,,,,,,,,,,,,,,,,,
Willow Flycatcher (Empidonax traillii),Empidonax,traillii,Tyrannidae,36,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Wilson's Warbler (Wilsonia pusilla) ,Wilsonia,pusilla,Parulidae,93,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Wood Duck (Aix sponsa),Aix,sponsa,Anatidae,2,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Wood Thrush (Hylocichla mustelina) ,Hylocichla,mustelina,Turdidae,64,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Yellow Warbler (Dendroica petechia) ,Dendroica,petechia,Parulidae,76,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Yellow-bellied Flycatcher (Empidonax flaviventris) ,Empidonax,flaviventris,Tyrannidae,34,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Yellow-bellied Sapsucker (Sphyrapicus varius),Sphyrapicus,varius,Picidae,27,,,,,,,,,,1,,,,,,,,1,1,p,,,,,,,,,,,,,,,,,
Yellow-headed Blackbird (Xanthocephalus xanthocephalus),Xanthocephalus,xanthocephalus,Icteridae,113,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Yellow-rumped Warbler (Dendroica coronata),Dendroica,coronata,Parulidae,80,1,1,,,,,,,,1,,,,,,,,3,3,p,,,,,,,,,,,,,,,,,
Yellow-throated Vireo (Vireo flavifrons) ,Vireo,flavifrons,Vireonidae,41,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number of species per stop,,,,,12,8,9,8,7,6,10,9,6,10,9,6,9,8,10,10,7,,,44,species,,,,,,,,,,,,,,,,
number of birds counted per stop,,,,,12,13,11,13,13,9,18,11,7,14,11,7,10,9,10,11,12,144,191,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Name (Scientific Name),,,,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
