Common Name (Scientific Name),Genus,Species,Family,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,present,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),Chlidonias,niger,Laridae,17,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),Mniotilta,varia,Parulidae,85,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,Dendroica,fusca,Parulidae,81,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Black-capped Chickadee (Parus atricapillus) ,Parus,atricapillus,Paridae,51,,,,,,,1,,2,,,1,,2,,,,4,6,,,,,,,,,,,,,,,,,,
Blackpoll Warbler (Dendroica striata) ,Dendroica,striata,Parulidae,84,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Black-throated Green Warbler (Dendroica virens) ,Dendroica,virens,Parulidae,80,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blue Jay (Cyanocitta cristata) ,Cyanocitta,cristata,Corvidae,45,,,,,,1,1,1,1,2,1,1,,,,2,,8,10,,,,,,,,,,,,,,,,,,
Blue-gray Gnatcatcher (Polioptila caerula) ,Polioptila,caerula,Polioptilidae,58,,,,,,,1,,,,1,,,,2,,1,4,5,,,,,,,,,,,,,,,,,,
Blue-headed [solitary] Vireo (Vireo solitarius) ,Vireo,solitarius,Vireonidae,41,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blue-winged Teal (Anas discors),Anas,discors,Anatidae,4,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Blue-winged Warbler (Vermivora pinus),Vermivora,pinus,Parulidae,69,,,,,,,,,1,1,,1,1,,1,,,5,5,,,,,,,,,,,,,,,,,,
Bobolink (Dolichonyx oryzivorus),Dolichonyx,oryzivorus,Icteridae,108,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Broad-winged Hawk (Buteo playpterus),Buteo,playpterus,Accipitridae,11,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Brown Thrasher (Toxostoma rufum),Toxostoma,rufum,Mimidae,66,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird (Molothrus ater) ,Molothrus,ater,Icteridae,113,,,1,1,,,,,1,,,,,,,1,,4,4,,,,,,,,,,,,,,,,,,
Canada Goose (Branta canadensis),Branta,canadensis,Anatidae,1,,1,1,,3,,,,,,,2,,,,1,5,6,13,,,,,,,,,,,,,,,,,,
Canada Warbler (Wilsonia canadensis) ,Wilsonia,canadensis,Parulidae,93,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Cape May Warbler (Dendroica tigrina),Dendroica,tigrina,Parulidae,78,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Caspian tern (Hydroprogne caspia = Sterna caspia),Hydroprogne,caspia,Laridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Cedar Waxwing (Bombycilla cedrorum) ,Bombycilla,cedrorum,Bombycillidae,68,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Chestnut-sided Warbler (Dendroica pensylvanica) ,Dendroica,pensylvanica,Parulidae,76,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Chimney Swift (Chaetura pelagica),Chaetura,pelagica,Apodidae,21,,,,,,,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,,,,
Chipping Sparrow (Spizella passerina) ,Spizella,passerina,Emberizidae,96,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Clay-colored Sparrow (Spizella pallida),Spizella,pallida,Emberizidae,97,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Cliff Swallow (Petrochelidon pyrrhonota),Petrochelidon,pyrrhonota,Hirundinidae,49,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Common Grackle (Quiscalus quiscula) ,Quiscalus,quiscula,Icteridae,112,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Common Yellowthroat (Geothlypis trichas) ,Geothlypis,trichas,Parulidae,91,1,,2,2,2,2,2,2,1,1,1,1,,,1,,2,13,20,,,,,,,,,,,,,,,,,,
Connecticut Warbler (Oporornis agilis),Oporornis,agilis,Parulidae,89,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Cooper's Hawk (Accipiter cooperii),Accipiter,cooperii,Accipitridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Downy Woodpecker (Picoides pubescens),Picoides,pubescens,Picidae,27,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Eastern Bluebird (Sialia sialis) ,Sialia,sialis,Turdidae,59,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Eastern Kingbird (Tyrannus tyrannus) ,Tyrannus,tyrannus,Tyrannidae,39,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Eastern Meadowlark (Sturnella magna),Sturnella,magna,Icteridae,110,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Eastern Phoebe (Sayornis phoebe),Sayornis,phoebe,Tyrannidae,37,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Eastern Towhee (Pipilo erythrophthalmus),Pipilo,erythrophthalmus,Emberizidae,95,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Eastern Wood-pewee (Contopus virens),Contopus,virens,Tyrannidae,32,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
European Starling (Sturnus vulgaris) ,Sturnus,vulgaris,Sturnidae,67,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Evening Grosbeak (Coccothraustes vespertinus),Coccothraustes,vespertinus,Fringillidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Field Sparrow (Spizella pusilla) ,Spizella,pusilla,Emberizidae,98,,1,1,,,1,,,1,1,,,,,,,,5,5,,,,,,,,,,,,,,,,,,
Golden Eagle (Aquila chrysaetos),Aquila,chrysaetos,Accipitridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Golden-winged Warbler (Vermivora chrysoptera),Vermivora,chrysoptera,Parulidae,70,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow (Ammodramus savannarum),Ammodramus,savannarum,Emberizidae,101,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Gray Catbird (Dumetella caroliniensis) ,Dumetella,caroliniensis,Mimidae,65,1,1,1,1,1,1,1,1,1,1,,,,,,,,10,10,,,,,,,,,,,,,,,,,,
Gray-cheeked Thrush (Catharus minimus),Catharus,minimus,Turdidae,61,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Great Blue Heron (Ardea herodius),Ardea,herodius,Ardeidae,7,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,
Great Crested Flycatcher (Myiarchus crinitus) ,Myiarchus,crinitus,Tyrannidae,38,,,,,,1,,,1,,1,,,1,,,,4,4,,,,,,,,,,,,,,,,,,
Great Egret (Ardea alba),Ardea,alba,Ardeidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Great Horned Owl (Bubo virginianus),Bubo,virginianus,Strigidae,20,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Green Heron (Butorides virescens),Butorides,virescens,Ardeidae,8,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Hairy Woodpecker (Picoides villosus),Picoides,villosus,Picidae,28,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Henslow's Sparrow (Ammodramus henslowii),Ammodramus,henslowii,Emberizidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Hermit Thrush (Catharus guttatus),Catharus,guttatus,Turdidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Finch (Carpodacus mexicanus),Carpodacus,mexicanus,Fringillidae,116,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
House Sparrow (Passer domesticus),Passer,domesticus,Passeridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
House Wren (Troglodytes aedon) ,Troglodytes,aedon,Troglodytidae,54,,,,,1,1,,,1,1,,,,1,1,,,6,6,,,,,,,,,,,,,,,,,,
Indigo Bunting (Passerina cyanea) ,Passerina,cyanea,Cardinalidae,107,,1,1,,,1,,1,1,,,,2,,,,,6,7,,,,,,,,,,,,,,,,,,
Killdeer (Charadrius vociferus),Charadrius,vociferus,Charadriidae,14,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Least Flycatcher (Empidonax minimus),Empidonax,minimus,Tyrannidae,36,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Magnolia Warbler (Dendroica magnolia),Dendroica,magnolia,Parulidae,77,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Mallard (Anas platyrhynchos),Anas,platyrhynchos,Anatidae,3,2,,,,,,,,,,,,,,,,, ,2,,,,,,,,,,,,,,,,,,
Marsh Wren (Cistothorus palustris),Cistothorus,palustris,Troglodytidae,56,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Mourning Dove (Zenaida macroura) ,Zenaida,macroura,Columbidae,19,,,,,,,,,,,,,,,1,,2,2,3,,,,,,,,,,,,,,,,,,
Mourning Warbler (Oporornis philadelphia),Oporornis,philadelphia,Parulidae,90,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Nashville Warbler (Vermivora ruficapilla) ,Vermivora,ruficapilla,Parulidae,73,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Northern Cardinal (Cardinalis cardinalis) ,Cardinalis,cardinalis,Cardinalidae,105,1,1,1,1,,1,,1,1,1,,,1,1,,,1,11,11,,,,,,,,,,,,,,,,,,
Northern Flicker (Colaptes auratus),Colaptes,auratus,Picidae,29,,,1,,,,,,,,,,,,,1,1,3,3,,,,,,,,,,,,,,,,,,
Northern Harrier (Circus cyaneus),Circus,cyaneus,Accipitridae,10,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Northern Parula (Parula americana),Parula,americana,Parulidae,74,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Northern Rough-winged Swallow (Stelgidopteryx serripennis),Stelgidopteryx,serripennis,Hirundinidae,48,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Northern Waterthrush (Seirus noveboracensis),Seirus,noveboracensis,Parulidae,88,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Olive-sided Flycatcher (Contopus cooperi),Contopus,cooperi,Tyrannidae,31,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Orange-crowned Warbler (Vermivora celata),Vermivora,celata,Parulidae,72,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Orchard oriole (Icterus spurius),Icterus,spurius,Icteridae,114,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Osprey (Pandion haliaetus),Pandion,haliaetus,Pandionidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Ovenbird (Seirus aurocapillus) ,Seirus,aurocapillus,Parulidae,87,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Palm Warbler (Dendroica palmarum),Dendroica,palmarum,Parulidae,82,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Peregrine Falcon (Falco peregrinus),Falco,peregrinus,Falconidae,12,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Philadelphia Vireo (Vireo philadelphicus),Vireo,philadelphicus,Vireonidae,43,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Pileated Woodpecker (Dryocopus pileatus) ,Dryocopus,pileatus,Picidae,30,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Red-bellied Woodpecker (Melanerpes carolinus),Melanerpes,carolinus,Picidae,25,1,,,,,,,,1,,1,,1,,1,1,,6,6,,,,,,,,,,,,,,,,,,
Red-eyed Vireo (Vireo olivaceus) ,Vireo,olivaceus,Vireonidae,44,2,1,1,,,,,,,1,2,2,1,1,,,,8,11,,,,,,,,,,,,,,,,,,
Red-headed Woodpecker (Melanerpes erythrocephalus) ,Melanerpes,erythrocephalus,Picidae,24,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Red-Tailed Hawk (Buteo jamaicensis),Buteo,jamaicensis,Accipitridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Red-winged Blackbird (Agelaius tricolor) ,Agelaius,tricolor,Icteridae,109,,,1,,,,5,2,,,,,,,1,,,4,9,,,,,,,,,,,,,,,,,,
Ring-billed Gull (Larus delawarensis),Larus,delawarensis,Laridae,16,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Ring-necked Pheasant (Phasianus colchicus),Phasianus,colchicus,Phasianidae,5,,,,1,,1,1,1,1,2,,,,,1,1,,8,9,,,,,,,,,,,,,,,,,,
Rock Pigeon (Columba livia),Columba,livia,Columbidae,18,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Rose-breasted Grosbeak (Pheucticus ludovicianus) ,Pheucticus,ludovicianus,Cardinalidae,106,,1,1,,2,1,,2,2,1,,,,1,,2,,9,13,,,,,,,,,,,,,,,,,,
Ruby-crowned Kinglet (Regulus calendula),Regulus,calendula,Regulidae,57,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Ruby-Throated Hummingbird (Archilocus colubris),Archilocus,colubris,Trochilidae,22,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Sandhill Crane (Grus canadensis),Antigone,canadensis,Gruidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Savannah Sparrow (Passerculus sandwichensis),Passerculus,sandwichensis,Emberizidae,100,,,,,,,,,,,,,,,,,,0,0,,,  ,,,,,,,,,,,,,,,
Scarlet Tanager (Piranga olivacea) ,Piranga,olivacea,Cardinalidae,94,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Sedge Wren (Cistothorus platensis),Cistothorus,platensis,Troglodytidae,55,,,,2,1,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,
Solitary Sandpiper (Tringa solitaria),Tringa,solitaria,Scolopacidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Song Sparrow (Melospiza melodia) ,Melospiza,melodia,Emberizidae,102,,1,3,,1,,1,,,,2,,,,,,,5,8,,,,,,,,,,,,,,,,,,
Sora (Porzana carolina),Porzana,carolina,Rallidae,13,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Spotted Sandpiper (Actitis macularia),Actitis,macularia,Scolopacidae,15,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Swainson’s Thrush (Catharus ustulatus) ,Catharus,ustulatus,Turdidae,62,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Swamp Sparrow (Melospiza georgiana),Melospiza,georgiana,Emberizidae,103,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Tennesee Warbler (Vermivora peregrina) ,Vermivora,peregrina,Parulidae,71,2,1,,,1,2,,2,,,,,,,2,1,,7,11,,,,,,,,,,,,,,,,,,
Tree Swallow (Tachycineta bicolor) ,Tachycineta,bicolor,Hirundinidae,47,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Tufted Titmouse (Baeolophus bicolor),Baeolophus,bicolor,Paridae,52,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Turkey Vulture (Cathartes aura),Cathartes,aura,Cathartidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Veery (Catharus fuscescens) ,Catharus,fuscescens,Turdidae,60,2,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
Vesper Sparrow (Pooecetes gramineus),Pooecetes,gramineus,Emberizidae,99,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Warbling Vireo (Vireo gilvus) ,Vireo,gilvus,Vireonidae,42,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
White-breasted Nuthatch (Sitta carolinensis) ,Sitta,carolinensis,Sittidae,53,,1,,,,,,,,,1,,,,2,1,,4,5,,,,,,,,,,,,,,,,,,
White-Crowned Sparrow (Zonotrichia leucophrys),Zonotrichia,leucophrys,Emberizidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
White-throated Sparrow (Zonotrichia albicollis),Zonotrichia,albicollis,Emberizidae,104,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Wild Turkey (Meleagris gallopavo),Meleagris,gallopavo,Phasianidae,6,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Willow Flycatcher (Empidonax traillii),Empidonax,traillii,Tyrannidae,35,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Wilson's Warbler (Wilsonia pusilla) ,Wilsonia,pusilla,Parulidae,92,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Wood Duck (Aix sponsa),Aix,sponsa,Anatidae,2,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Wood Thrush (Hylocichla mustelina) ,Hylocichla,mustelina,Turdidae,63,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Yellow Warbler (Dendroica petechia) ,Dendroica,petechia,Parulidae,75,,,,,,1,2,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,
Yellow-bellied Flycatcher (Empidonax flaviventris) ,Empidonax,flaviventris,Tyrannidae,33,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Yellow-bellied Sapsucker (Sphyrapicus varius),Sphyrapicus,varius,Picidae,26,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Yellow-headed Blackbird (Xanthocephalus xanthocephalus),Xanthocephalus,xanthocephalus,Icteridae,111,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Yellow-rumped Warbler (Dendroica coronata),Dendroica,coronata,Parulidae,79,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Yellow-throated Vireo (Vireo flavifrons) ,Vireo,flavifrons,Vireonidae,40,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number of species per stop,,,,,11,16,17,10,14,17,14,13,17,16,9,6,9,8,12,12,9,,,,,,,,,,,,,,,,,,,,
number of birds counted per stop,,,,,17,17,21,13,18,21,21,17,19,20,11,8,12,9,16,15,16,209,271,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
