Common Name (Scientific Name),Genus,Species,Family,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,present,Notes,,,,,,,,,,,,,,,,
Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,35,,,,,,,,,,,,,,,,,,0,0,,illegible bird on stop 14 of B Mastersheet (Check PDF),,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,Corvus,brachyrhynchos,Corvidae,47,1,1,1,,,,2,1,,1,1,2,1,,,,,9,11,p,illegible bird on stop 12 of B Mastersheet (Check PDF),,,,,,,,,,,,,,,,
American Goldfinch (Carduelis tristis) ,Carduelis,tristis,Fringillidae,119,2,1,4,2,1,3,,2,2,,1,,2,,,,,10,20,p,,,,,,,,,,,,,,,,,
American Kestrel (Falco sparverius),Falco,sparverius,Falconidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,Setophaga,ruticilla,Parulidae,87,2,,,,,,,,,,1,1,,1,,1,,5,6,p,,,,,,,,,,,,,,,,,
American Robin (Turdus migratorius) ,Turdus,migratorius,Turdidae,65,,,,,1,,,,,,,,,1,,1,1,4,4,p,,,,,,,,,,,,,,,,,
American White Pelican (Pelecanus erythrorhynchos),Pelecanus,erythrorhynchos,Pelecanidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),Haliaeetus,leucocephalus,Accipitridae,9,1,,,,,,,,,,,,,,,,,1,1,p,,,,,,,,,,,,,,,,,
Baltimore oriole (Icterus galbula) ,Icterus,galbula,Icteridae,117,1,1,2,1,1,,,,,,,1,1,1,1,,1,10,11,p,,,,,,,,,,,,,,,,,
Barn Swallow (Hirundo rustica) ,Hirundo,rustica,Hirundinidae,51,,,,,,,,,,,,,1,,,,,1,1,p,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),Dendroica,castanea,Parulidae,84,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
