Common Name (Scientific Name),Genus,Species,Family,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,present,,,,,,,,,,,,,,,,,
Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,28,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,Corvus,brachyrhynchos,Corvidae,39,3,,,,,,,,,,1,,,,2,,1,4,7,,,,,,,,,,,,,,,,,,
American Goldfinch (Carduelis tristis) ,Carduelis,tristis,Fringillidae,103,,,1,1,,,1,,1,1,,,,,,,1,6,6,,,,,,,,,,,,,,,,,,
American Kestrel (Falco sparverius),Falco,sparverius,Falconidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,Setophaga,ruticilla,Parulidae,75,1,,,,,,,,,,,1,2,,2,1,1,6,8,,,,,,,,,,,,,,,,,,
American Robin (Turdus migratorius) ,Turdus,migratorius,Turdidae,56,,,,,1,1,,1,,1,,,1,,,1,,6,6,,,,,,,,,,,,,,,,,,
American White Pelican (Pelecanus erythrorhynchos),Pelecanus,erythrorhynchos,Pelecanidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),Haliaeetus,leucocephalus,Accipitridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Baltimore oriole (Icterus galbula) ,Icterus,galbula,Icteridae,101,,,,1,,,,,,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,,
Barn Swallow (Hirundo rustica) ,Hirundo,rustica,Hirundinidae,43,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),Dendroica,castanea,Parulidae,72,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Belted Kingfisher (Ceryle alcyon) ,Ceryle,alcyon,Alcedinidae,18,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),Chlidonias,niger,Laridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),Mniotilta,varia,Parulidae,74,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,Dendroica,fusca,Parulidae,70,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Black-capped Chickadee (Parus atricapillus) ,Parus,atricapillus,Paridae,44,,,,,,,,,1,,2,,,,,,,2,3,,,,,,,,,,,,,,,,,,
Blackpoll Warbler (Dendroica striata) ,Dendroica,striata,Parulidae,73,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Black-throated Green Warbler (Dendroica virens) ,Dendroica,virens,Parulidae,69,,,,,,,,,,1,,,,1,1,,,3,3,,,,,,,,,,,,,,,,,,
Blue Jay (Cyanocitta cristata) ,Cyanocitta,cristata,Corvidae,38,,,,,,,1,,,,1,,1,1,,,,4,4,,,,,,,,,,,,,,,,,,
Blue-gray Gnatcatcher (Polioptila caerula) ,Polioptila,caerula,Polioptilidae,50,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blue-headed [solitary] Vireo (Vireo solitarius) ,Vireo,solitarius,Vireonidae,34,,,,,,1,,,,,1,,,,,,,2,2,,,,,,,,,,,,,,,,,,
Blue-winged Teal (Anas discors),Anas,discors,Anatidae,6,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blue-winged Warbler (Vermivora pinus),Vermivora,pinus,Parulidae,60.5,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Bobolink (Dolichonyx oryzivorus),Dolichonyx,oryzivorus,Icteridae,,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
