Common Name (Scientific Name),Genus,Species,Family,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,present,,,,,,,,,,,,,,,,,
Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,Corvus,brachyrhynchos,Corvidae,45,1,,1,1,,,1,1,,,1,,,,,,1,7,7,,,,,,,,,,,,,,,,,,
American Goldfinch (Carduelis tristis) ,Carduelis,tristis,Fringillidae,110,,,1,1,,3,,,3,,,1,,,,,1,6,10,,,,,,,,,,,,,,,,,,
American Kestrel (Falco sparverius),Falco,sparverius,Falconidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,Setophaga,ruticilla,Parulidae,82,,,,,,,,1,,,,1,,1,,,1,4,4,,,,,,,,,,,,,,,,,,
American Robin (Turdus migratorius) ,Turdus,migratorius,Turdidae,62,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
American White Pelican (Pelecanus erythrorhynchos),Pelecanus,erythrorhynchos,Pelecanidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),Haliaeetus,leucocephalus,Accipitridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Baltimore oriole (Icterus galbula) ,Icterus,galbula,Icteridae,108,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Barn Swallow (Hirundo rustica) ,Hirundo,rustica,Hirundinidae,49,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),Dendroica,castanea,Parulidae,78,,,,,,,,,,,,,,,,,,0,0,p,,,,,,,,,,,,,,,,,
Belted Kingfisher (Ceryle alcyon) ,Ceryle,alcyon,Alcedinidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),Chlidonias,niger,Laridae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),Mniotilta,varia,Parulidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,Dendroica,fusca,Parulidae,76,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,
