Common Name (Scientific Name),Genus,Species,Family,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,present,Notes,# stops,total,,,,,,,,,,,,,,,,,
Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,Corvus,brachyrhynchos,Corvidae,2,,,1,,3,,,1,1,,,1,,1,,1,,,8,11,1,,,,,,,,,,,,,,,,
American Goldfinch (Carduelis tristis) ,Carduelis,tristis,Fringillidae,1,,2,2,1,,3,1,,1,,,,,,1,2,,,9,14,1,,,,,,,,,,,,,,,,
American Kestrel (Falco sparverius),Falco,sparverius,Falconidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,Setophaga,ruticilla,Parulidae,,,,,,1,,,,,,,,,,1,,,,2,2,1,,,,,,,,,,,,,,,,
American Robin (Turdus migratorius) ,Turdus,migratorius,Turdidae,,3,2,2,3,1,,,1,1,2,1,,1,1,,,p,,11,18,1,,,,,,,,,,,,,,,,
American White Pelican (Pelecanus erythrorhynchos),Pelecanus,erythrorhynchos,Pelecanidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),Haliaeetus,leucocephalus,Accipitridae,,,,1,,,,,,,,,,,,,1,,,2,2,1,,,,,,,,,,,,,,,,
Baltimore oriole (Icterus galbula) ,Icterus,galbula,Icteridae,,,,,,,,,,,,1,,1,,1,,,,3,3,1,,,,,,,,,,,,,,,,
Barn Swallow (Hirundo rustica) ,Hirundo,rustica,Hirundinidae,,1,,1,,,,1,,,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),Dendroica,castanea,Parulidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
